"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"894","Cole Smith","NSH","L","1","5.95","5.95","40.34","131.09","23.53","30.25","80.67","27.27","20.17","70.59","22.22","0","0","-","1.12","1.76","38.99","10.08","30.25","25.00","10.08","10.08","50.00","0","0","-","0","26.89","0.00","0","0","-","43.7","131.09","25.00","0","0","-","0.00","100.00","1.000","0","30.25","0","60.5","-","0","40.34","20.17","0.00"
"581","Guillaume Brisebois","VAN","D","1","10.633333333333","10.633333333333","28.21","112.85","20.00","16.93","95.92","15.00","5.64","73.35","7.14","0","0","-","0.87","6.73","11.43","16.93","67.71","20.00","0","28.21","0.00","0","0","-","22.57","52.66","30.00","0","0","-","8.15","57.05","12.50","0","0","-","0.00","100.00","1.000","5.64","16.93","0","50.78","100.00","5.64","16.93","5.64","50.00"
"557","A.J. Greer","N.J","L","1","8.55","8.55","28.07","112.28","20.00","28.07","98.25","22.22","7.02","84.21","7.69","0","0","-","1.41","8.67","13.97","28.07","70.18","28.57","7.02","35.09","16.67","0","0","-","28.07","46.78","37.50","0","0","-","0","60.82","0.00","0","0","-","0.00","100.00","1.000","0","14.04","7.02","63.16","0.00","7.02","14.04","14.04","33.33"
"732","Jonah Gadjovich","VAN","L","1","4.9166666666667","4.9166666666667","12.2","97.63","11.11","12.2","61.02","16.67","0","36.61","0.00","0","12.2","0.00","0.09","3.35","2.59","0","36.61","0.00","0","24.41","0.00","0","12.2","0.00","0","16.27","0.00","0","0","-","17.63","52.88","25.00","0","0","-","-","66.67","0.67","12.2","12.2","12.2","48.81","50.00","24.41","24.41","24.41","50.00"
"121","Luca Sbisa","NSH","D","1","11.2","11.2","42.86","96.43","30.77","21.43","48.21","30.77","16.07","26.79","37.50","0","0","-","1.51","2.81","34.89","21.43","53.57","28.57","10.71","16.07","40.00","0","0","-","14.29","50","22.22","0","0","-","23.21","61.9","27.27","0","0","-","0.00","100.00","1.000","10.71","10.71","16.07","48.21","40.00","10.71","16.07","32.14","25.00"
"791","Drake Rymsha","L.A","C","1","13.266666666667","13.266666666667","31.66","90.45","25.93","22.61","67.84","25.00","18.09","49.75","26.67","4.52","0","100.00","1.02","3.84","21.06","4.52","54.27","7.69","4.52","13.57","25.00","4.52","0","100.00","0","54.27","0.00","0","0","-","39.2","52.26","42.86","0","0","-","25.00","100.00","1.250","9.05","4.52","9.05","54.27","50.00","9.05","9.05","22.61","28.57"
"825","Alec Regula","CHI","D","3","35.516666666667","11.838888888889","32.1","89.54","26.39","18.58","72.64","20.37","13.51","55.75","19.51","0","1.69","0.00","0.82","6.21","11.66","13.51","48.99","21.62","1.69","28.72","5.56","0","1.69","0.00","15.77","27.03","36.84","0","0","-","24.4","46.36","34.48","0","0","-","0.00","96.97","0.970","5.07","6.76","6.76","48.99","42.86","13.51","11.83","20.27","40.00"
"887","Lean Bergmann","S.J","C","1","10.316666666667","10.316666666667","46.53","87.24","34.78","34.89","69.79","33.33","17.45","52.34","25.00","0","5.82","0.00","1.37","5.29","20.54","5.82","63.97","8.33","0","29.08","0.00","0","5.82","0.00","7.75","46.53","14.29","0","0","-","58.8","33.6","63.64","0","0","-","0.00","88.89","0.889","11.63","23.26","5.82","52.34","66.67","17.45","23.26","11.63","60.00"
"455","Frederik Gauthier","ARI","C","2","13.483333333333","6.7416666666667","22.25","84.55","20.83","13.35","62.3","17.65","13.35","48.95","21.43","0","0","-","0.57","2.6","17.95","4.45","40.05","10.00","4.45","17.8","20.00","0","0","-","0","29.67","0.00","0","0","-","19.28","57.85","25.00","0","0","-","0.00","100.00","1.000","4.45","22.25","8.9","53.4","33.33","13.35","31.15","26.7","33.33"
"681","Keaton Middleton","COL","D","3","27.8","9.2666666666667","49.64","84.17","37.10","41.01","73.38","35.85","25.9","53.96","32.43","0","2.16","0.00","2","3.51","36.32","28.06","21.58","56.52","8.63","12.95","40.00","0","0","-","25.9","11.51","69.23","0","2.88","0.00","28.06","71.7","28.13","0","0","-","0.00","96.00","0.960","4.32","2.16","8.63","71.22","33.33","12.95","4.32","17.27","42.86"
"875","Arthur Kaliyev","L.A","R","1","13.8","13.8","21.74","82.61","20.83","17.39","73.91","19.05","17.39","60.87","22.22","4.35","8.7","33.33","2.06","9","18.61","13.04","43.48","23.08","8.7","30.43","22.22","4.35","4.35","50.00","5.8","17.39","25.00","0","5.8","0.00","6.28","56.52","10.00","0","0","-","25.00","85.71","1.107","8.7","13.04","4.35","47.83","66.67","13.04","26.09","17.39","42.86"
"509","Louie Belpedio","MIN","D","1","11.816666666667","11.816666666667","35.54","81.24","30.43","35.54","71.09","33.33","25.39","40.62","38.46","0","5.08","0.00","0.66","4.84","11.97","5.08","40.62","11.11","0","20.31","0.00","0","5.08","0.00","6.77","27.08","20.00","0","0","-","44.01","51.34","46.15","0","0","-","0.00","87.50","0.875","5.08","5.08","10.16","50.78","33.33","10.16","15.23","15.23","40.00"
"145","Matt Bartkowski","MIN","D","1","11.366666666667","11.366666666667","36.95","79.18","31.82","36.95","68.62","35.00","26.39","36.95","41.67","0","5.28","0.00","0.68","4.7","12.71","5.28","36.95","12.50","0","21.11","0.00","0","5.28","0.00","7.04","21.11","25.00","0","0","-","45.75","53.37","46.15","0","0","-","0.00","85.71","0.857","5.28","5.28","10.56","52.79","33.33","10.56","15.84","15.84","40.00"
"877","Connor McMichael","WSH","C","1","9.9","9.9","48.48","78.79","38.10","30.3","54.55","35.71","24.24","30.3","44.44","0","0","-","1.98","1.86","51.62","42.42","18.18","70.00","12.12","6.06","66.67","0","0","-","40.4","16.16","71.43","0","0","-","8.75","61.28","12.50","0","0","-","0.00","100.00","1.000","24.24","12.12","0","42.42","100.00","24.24","12.12","12.12","66.67"
"756","MacKenzie Entwistle","CHI","R","5","49.083333333333","9.8166666666667","33.01","78.23","29.67","25.67","62.34","29.17","23.23","48.9","32.20","2.44","1.22","66.67","1.8","4.59","28.15","18.34","42.78","30.00","6.11","24.45","20.00","2.44","1.22","66.67","16.3","24.45","40.00","0","0","-","19.42","44.14","30.56","0","0","-","10.53","97.50","1.080","6.11","13.45","6.11","61.12","50.00","15.89","19.56","18.34","46.43"
"872","Cam York","PHI","D","3","52.233333333333","17.411111111111","53.99","76.96","41.23","35.61","55.14","39.24","22.97","42.5","35.09","1.15","2.3","33.33","1.33","2.85","31.78","19.53","27.57","41.46","6.89","16.08","30.00","0","2.3","0.00","16.85","15.32","52.38","0","0","-","39.82","56.41","41.38","1.66","0","100.00","5.00","94.59","0.996","11.49","8.04","9.19","50.54","55.56","18.38","12.64","17.23","51.61"
"403","Jonny Brodzinski","NYR","C","5","53.8","10.76","39.03","76.95","33.65","33.46","62.45","34.88","23.42","37.92","38.18","1.12","1.12","50.00","1.44","3.93","26.77","11.15","40.15","21.74","5.58","21.19","20.83","1.12","1.12","50.00","7.43","25.28","22.73","0","0","-","33.83","49.94","40.38","0","0","-","4.76","97.06","1.018","10.04","13.38","7.81","62.45","56.25","16.73","20.07","22.3","42.86"
"251","Michael Sgarbossa","WSH","C","5","42.033333333333","8.4066666666667","61.38","75.65","44.79","45.68","57.1","44.44","35.69","48.53","42.37","5.71","2.85","66.67","2.14","5.4","28.42","24.27","31.4","43.59","9.99","12.85","43.75","2.85","1.43","66.67","19.03","24.74","43.48","1.9","0","100.00","51.55","45.36","53.19","2.06","2.06","50.00","16.00","94.12","1.101","11.42","15.7","0","51.39","100.00","11.42","19.98","5.71","66.67"
"616","Dmytro Timashov","NYI","L","1","7.1666666666667","7.1666666666667","33.49","75.35","30.77","25.12","66.98","27.27","25.12","50.23","33.33","0","16.74","0.00","0.23","2.53","8.50","0","33.49","0.00","0","8.37","0.00","0","0","-","0","33.49","0.00","0","22.33","0.00","48.37","48.37","50.00","0","0","-","0.00","66.67","0.667","16.74","0","0","58.6","100.00","25.12","0","8.37","75.00"
"642","Joey Anderson","TOR","R","1","9.6","9.6","37.5","75","33.33","12.5","56.25","18.18","6.25","31.25","16.67","6.25","0","100.00","0.54","2.68","16.85","12.5","25","33.33","0","12.5","0.00","0","0","-","16.67","16.67","50.00","8.33","0","100.00","36.11","54.17","40.00","0","0","-","100.00","100.00","2.000","12.5","6.25","0","62.5","100.00","25","12.5","18.75","57.14"
"859","Brady Keeper","FLA","D","1","7.2","7.2","16.67","75","18.18","8.33","41.67","16.67","0","33.33","0.00","0","0","-","0.19","4.55","4.06","0","58.33","0.00","0","41.67","0.00","0","0","-","0","22.22","0.00","0","0","-","24.07","24.07","50.00","0","0","-","-","100.00","1.00","16.67","25","0","50","100.00","25","33.33","0","100.00"
"895","Marc Michaelis","VAN","L","15","135.76666666667","9.0511111111111","41.98","74.69","35.98","32.7","54.36","37.56","24.31","41.98","36.67","1.33","3.54","27.27","2.03","3.29","38.21","19","39.77","32.33","8.4","14.58","36.54","0.88","1.77","33.33","14.14","33.59","29.63","0.59","2.36","20.00","29.36","41.49","41.44","0","0","-","5.45","91.58","0.970","13.26","13.26","9.28","57.89","58.82","17.68","15.91","17.24","50.63"
"792","Sebastian Aho","NYI","D","3","39.816666666667","13.272222222222","55.76","72.33","43.53","42.19","60.28","41.18","28.63","39.18","42.22","3.01","4.52","40.00","2.77","3.44","44.60","24.11","33.15","42.11","15.07","15.07","50.00","3.01","4.52","40.00","12.06","24.11","33.33","0","0","-","39.18","50.06","43.90","0","0","-","10.53","88.46","0.990","10.55","10.55","4.52","61.78","70.00","25.62","12.06","15.07","62.96"
"18","Loui Eriksson","VAN","L","7","58.966666666667","8.4238095238095","39.68","72.24","35.45","31.54","56.98","35.63","25.44","34.6","42.37","1.02","4.07","20.00","2.22","3.26","40.51","17.3","41.72","29.31","5.09","19.33","20.83","0","3.05","0.00","16.28","29.85","35.29","0","1.36","0.00","24.99","41.15","37.78","0","0","-","4.00","88.24","0.922","5.09","13.23","11.19","65.12","31.25","12.21","18.32","24.42","33.33"
